audit/reports/mining_security.md:24:| `content/docs/mining/block-rewards.mdx` | **ISSUES** | Core reward mechanics mostly match consensus, but supply cap/time-to-50% and immutability claims are inaccurate. |
audit/reports/mining_security.md:25:| `content/docs/mining/difficulty-adjustment.mdx` | **ISSUES** | Core constants are right; DAA-score definition, coinbase-maturity unit, timestamp-trimming description, and hashrate formula are inaccurate. |
audit/reports/mining_security.md:26:| `content/docs/mining/hardware.mdx` | **UNVERIFIED** | Hardware models/specs/prices/timeline are off-chain, fast-changing, and uncited; not verifiable from required primary sources. |
audit/reports/mining_security.md:27:| `content/docs/mining/kheavyhash.mdx` | **ISSUES** | PoW pipeline partially correct, but matrix derivation/rotation and matrix math description do not match implementation. |
audit/reports/mining_security.md:28:| `content/docs/mining/pool-mining.mdx` | **UNVERIFIED** | Pool URLs/fees/payout methods and miner CLI flags are operational and volatile; no source-of-truth citations provided. |
audit/reports/mining_security.md:29:| `content/docs/mining/solo-mining.mdx` | **ISSUES** | `--utxoindex` claimed as required for mining is incorrect; several operational values/commands are uncited and version-sensitive. |
audit/reports/mining_security.md:30:| `content/docs/security/responsible-disclosure.mdx` | **ISSUES** | Includes concrete policy/SLA/scope claims that are not supported by the project’s published security policy state. |
audit/reports/mining_security.md:31:| `content/docs/security/security-model.mdx` | **ISSUES** | Some constants are correct; reversal math table conflicts with its own formula, pruning/finality wording is incorrect, and several security-threshold claims are unsupported. |
audit/reports/mining_security.md:32:| `content/docs/security/staying-safe.mdx` | **ISSUES** | Main practices are sound, but “24-word seed phrase” is too strict/inaccurate (Kaspa ecosystem supports 12 and 24 words). |
audit/reports/node_operations.md:10:| `content/docs/node-operations/docker.mdx` | **ISSUES** | Official prebuilt image claim is incorrect; healthcheck example is inconsistent with Dockerfile. |
audit/reports/node_operations.md:11:| `content/docs/node-operations/monitoring.mdx` | **ISSUES** | RPC method field descriptions are incorrect for `GetInfo` / `GetSyncStatus`; some log examples are outdated. |
audit/reports/node_operations.md:12:| `content/docs/node-operations/running-a-node.mdx` | **ISSUES** | Default data directory paths are outdated; mining/UTXO wording is too strong. |
audit/reports/node_operations.md:13:| `content/docs/node-operations/simnet.mdx` | **ISSUES** | Simnet PoW behavior is mischaracterized as "low difficulty" instead of simulated/disabled PoW. |
audit/reports/node_operations.md:14:| `content/docs/node-operations/testnet.mdx` | **ISSUES** | Current node implementation only supports testnet suffix `10`; `testnet-11` is not supported in consensus params. |
audit/reports/node_operations.md:15:| `content/docs/node-operations/troubleshooting.mdx` | **UNVERIFIED** | Most operational heuristics are plausible but not provable from primary sources as written. |
audit/reports/node_operations.md:16:| `content/docs/node-operations/upgrading.mdx` | **UNVERIFIED** | Core Crescendo facts are correct; compatibility/process guarantees are stated too broadly without source backing. |
audit/reports/node_operations.md:9:| `content/docs/node-operations/configuration.mdx` | **ISSUES** | Multiple defaults/paths are outdated; `--sanity` behavior is misdescribed. |
audit/reports/rpc_grpc_subscriptions.md:34:| `content/docs/rpc/grpc/overview.mdx` | **ISSUES** | 9 | 3 | 3 |
audit/reports/rpc_grpc_subscriptions.md:35:| `content/docs/rpc/grpc/protobuf-schema.mdx` | **ISSUES** | 9 | 4 | 1 |
audit/reports/rpc_grpc_subscriptions.md:36:| `content/docs/rpc/grpc/streaming.mdx` | **ISSUES** | 8 | 6 | 2 |
audit/reports/rpc_grpc_subscriptions.md:37:| `content/docs/rpc/subscriptions/block-added.mdx` | **VERIFIED** | 8 | 0 | 0 |
audit/reports/rpc_grpc_subscriptions.md:38:| `content/docs/rpc/subscriptions/finality-conflict.mdx` | **ISSUES** | 5 | 2 | 3 |
audit/reports/rpc_grpc_subscriptions.md:39:| `content/docs/rpc/subscriptions/new-block-template.mdx` | **ISSUES** | 5 | 3 | 2 |
audit/reports/rpc_grpc_subscriptions.md:40:| `content/docs/rpc/subscriptions/overview.mdx` | **ISSUES** | 10 | 1 | 1 |
audit/reports/rpc_grpc_subscriptions.md:41:| `content/docs/rpc/subscriptions/pruning-point-utxo-set-override.mdx` | **ISSUES** | 4 | 3 | 2 |
audit/reports/rpc_grpc_subscriptions.md:42:| `content/docs/rpc/subscriptions/sink-blue-score-changed.mdx` | **ISSUES** | 5 | 4 | 1 |
audit/reports/rpc_grpc_subscriptions.md:43:| `content/docs/rpc/subscriptions/utxos-changed.mdx` | **VERIFIED** | 10 | 0 | 2 |
audit/reports/rpc_grpc_subscriptions.md:44:| `content/docs/rpc/subscriptions/virtual-chain-changed.mdx` | **ISSUES** | 7 | 1 | 1 |
audit/reports/rpc_grpc_subscriptions.md:45:| `content/docs/rpc/subscriptions/virtual-daa-score-changed.mdx` | **ISSUES** | 8 | 2 | 1 |
audit/reports/rpc_rest.md:10:| `content/docs/rpc/rest/network-info.mdx` | **ISSUES** | `/info/hashrate` params/units are incorrect; some operational claims are not evidenced. |
audit/reports/rpc_rest.md:11:| `content/docs/rpc/rest/transactions.mdx` | **ISSUES** | Some mass/field/error descriptions do not match current behavior/spec. |
audit/reports/rpc_rest.md:12:| `content/docs/rpc/rest/virtual-chain.mdx` | **ISSUES** | Describes non-existent REST endpoint; content matches wRPC method semantics instead. |
audit/reports/rpc_rest.md:8:| `content/docs/rpc/rest/addresses.mdx` | **ISSUES** | Pagination params, multi-address query model, and error semantics are incorrect/outdated. |
audit/reports/rpc_rest.md:9:| `content/docs/rpc/rest/blocks.mdx` | **ISSUES** | `lowHash` semantics/defaults and several field/type descriptions are incorrect/outdated. |
